Name,Location,Contact,Tags,Email,Website,Latitude,Longitude,Used_Query
"Dhampus Springs Mineral Water Pvt. Ltd","Dhampus 33700, Pokhara, Kaski, Gandaki, Nepal","Mobile: 985-6004900","Healthy and quality water","","",28.2373241,83.9852911,"Dhampus 33700, Pokhara, Kaski, Gandaki, Nepal"
"H2O Water Factory","Kirtipur, Kathmandu, Bagmati, Nepal","Mobile: 980-7766161","Healthiest drinking water, ozone purification, home delivery","","",27.676664,85.2782438,"Kirtipur, Kathmandu, Bagmati, Nepal"
"Bagdwar Fresh Mineral Water Pvt. Ltd.","Gokarneshwor 44600, Kathmandu, Bagmati, Nepal","Telephone: 01-4801084","Healthy and quality water","","",27.7375111,85.3857936,"Gokarneshwor 44600, Kathmandu, Bagmati, Nepal"
"Sunmai Spring (Pure Drinking Water) Head Office","Birtamode 57204, Jhapa, Mechi, Nepal","Telephone: 023-540335","Healthy and quality water","","",26.644611,87.98920434044692,"Birtamode 57204, Nepal"
"Spring Mineral Water of Matatirtha Pvt. Ltd.","Bhusungkhel, Chandragiri, Kathmandu, Bagmati, Nepal","Telephone: 01-5164083","Healthy and quality water","","",28.3780464,83.9999901,"Nepal, Nepal"
"AQUAFINE","Birendranagar, Surkhet, Karnali, Nepal","Mobile: 981-8071180","Highest quality water","","",28.595387,81.628494,"Birendranagar, Surkhet, Karnali, Nepal"
"Miklajung Water","Madhumalla Miklajung-9, Morang, Koshi, Nepal","Mobile: 982-7033137","Packaged drinking water","","",26.732666,87.663132,"Madhumalla Miklajung-9, Morang, Koshi, Nepal"
"Chandan Boring","Pokhara 33700, Kaski, Gandaki, Nepal","Telephone: 061-402094","Healthiest drinking water","","",28.209538,83.991402,"Pokhara 33700, Kaski, Gandaki, Nepal"
"Ma Kali Mangalgadi Pani Supplier","Latikoili Road, Birendranagar, Surkhet, Bheri, Nepal","Mobile: 984-8068407","Healthy and quality water","","",28.3780464,83.9999901,"Nepal, Nepal"
"Himalayan Water and Ice Udyog","Pokhara 33700, Kaski, Gandaki, Nepal","Telephone: 061-550278","Healthy and quality water","","",28.209538,83.991402,"Pokhara 33700, Kaski, Gandaki, Nepal"
"Kathmandu Upatyaka Khanepani Limited","Tripureshwor Chowk, Kathmandu 44600, Bagmati, Nepal","Telephone: 01-4262202","Leading pure drinking water","","",27.6937845,85.31411107407683,"Tripureshwor Chowk, Kathmandu 44600, Bagmati, Nepal"
"Star Water Industries Limited","Tilottama 32900, Rupandehi, Lumbini, Nepal","Mobile: 981-5406669","Healthy and quality water","","",27.6116429,83.48996975188996,"Tilottama 32900, Rupandehi, Lumbini, Nepal"
"Bhattarai Brothers Beverage","Mechinagar, Kakarvita, Jhapa, Mechi, Nepal","Mobile: 981-6045561","Healthy and quality water","","",26.681506,88.07744824866145,"Mechinagar, Nepal"
"Shiva Ganga Jal Udhyog","Itahari 56705, Sunsari, Koshi, Nepal","Mobile: 984-2104768","Healthiest drinking water","","",26.6622505,87.2748964,"Itahari 56705, Sunsari, Koshi, Nepal"
"Aqua Mineral Nepal Pvt. Ltd.","Sai Baba Marg, Kathmandu 44600, Bagmati, Nepal","Telephone: 01-5368555","Purest water in Nepal","","",27.695362274437024,85.34492461339198,"Sai Baba Marg, Kathmandu 44600, Bagmati, Nepal"
"Nirmal Jal Udhyog","Biratnagar 56613, Morang, Koshi, Nepal","Telephone: 021-415378","Healthy and quality water","","",26.4623007,87.281617,"Biratnagar 56613, Morang, Koshi, Nepal"
"Jonson Jal Udyog","Biratnagar 56613, Morang, Koshi, Nepal","Mobile: 985-2086210","Healthiest drinking water","","",26.4623007,87.281617,"Biratnagar 56613, Morang, Koshi, Nepal"
"AB Beverage Industries Pvt. Ltd.","Gokarneshwor 44600, Kathmandu, Bagmati, Nepal","Mobile: 985-1150882","Leading pure drinking water","","",27.7375111,85.3857936,"Gokarneshwor 44600, Kathmandu, Bagmati, Nepal"
"Rise Drinking Water and Suppliers","Galfutar, Tokha 44600, Kathmandu, Bagmati, Nepal","Mobile: 986-0921451","Highest quality water","","",28.3780464,83.9999901,"Nepal, Nepal"
"Gosainkunda Drinking Water","Tokha 44600, Kathmandu, Bagmati, Nepal","Telephone: 01-5159628","Healthiest drinking water","","",27.75,85.333333,"Tokha 44600, Kathmandu, Bagmati, Nepal"
"Rasuwa Water","Gosaikunda-6, Langtang, Rasuwa, Nepal","Mobile: +97701-5902481","A blessing from Holy lake","","",28.25795565,85.67728148907705,"Gosaikunda-6, Nepal"
"Himalayas Spring Water (P) Ltd.","New Baneshwor, Kathmandu, Nepal","Phone : +977-1-4791171","HIMALAYAS’ ONTOP","","",27.68990755,85.33565914433615,"New Baneshwor, Kathmandu, Nepal"
"Aqua World Pvt. Ltd.","Attarkhel Buddha Chowk, Kathmandu, Nepal","+977-15223028","Healthy and quality water","","",28.3780464,83.9999901,"Nepal, Nepal"
"Star Water Industries Limited","Tilottama, Nepal","+977 9815406669","","","",27.6116429,83.48996975188996,"Tilottama, Nepal"
"Bagdwar Fresh Mineral Water Pvt. Ltd.","Gokarneshwor, Nepal","+977 14801084","","","",27.7375111,85.3857936,"Gokarneshwor, Nepal"
"Cristilo Water Industry Pvt.Ltd","Nepalgunj, Nepal","+977 9858023661","","","",28.1029661,81.66321738309193,"Nepalgunj, Nepal"
"Himalayan Aqua Water Pvt.Ltd","Kathmandu, Nepal","+977 9843726659","","","",27.708317,85.3205817,"Kathmandu, Nepal"
"Shiva Ganga Jal Udhyog","Itahari, Nepal","+977 9842104768","","","",26.6622505,87.2748964,"Itahari, Nepal"
"Aanand Jal","Golbazar, Nepal","+977 9815739092","","","",26.803341500000002,86.33265445240501,"Golbazar, Nepal"
"Shubha Lakshmi Food & Beverages Pvt. Ltd.","Budhanilkantha, Nepal","+977 9818200907","","","",27.77812605,85.36234122042819,"Budhanilkantha, Nepal"
"Khadka Industry Pvt. Ltd.","Sitapur, Nepal","+977 81694766","","","",26.5288136,87.2380622,"Sitapur, Nepal"
"Cpfoodandbeverage","Prasabani, Nepal","+977 9819079952","","","",,"","Prasabani, Nepal"
